0,1,2,3,4
0.098,0.038,0.008,0.852,0.004
0.834,0.016,0.026,0.098,0.026
0.016,0.004,0.004,0.008,0.968
0.012,0.006,0.956,0.02,0.006
0.04,0.008,0.006,0.928,0.018
0.884,0.01,0.01,0.046,0.05
0.016,0.002,0.004,0.016,0.962
0.984,0.006,0.002,0.004,0.004
0.038,0.022,0.018,0.892,0.03
0.998,0.0,0.0,0.0,0.002
0.01,0.002,0.008,0.01,0.97
0.012,0.006,0.978,0.002,0.002
0.896,0.016,0.018,0.058,0.012
0.044,0.038,0.006,0.9,0.012
0.846,0.026,0.016,0.052,0.06
0.006,0.0,0.004,0.01,0.98
0.994,0.0,0.0,0.002,0.004
0.018,0.002,0.004,0.006,0.97
0.008,0.002,0.982,0.008,0.0
0.144,0.046,0.028,0.75,0.032
0.018,0.01,0.004,0.008,0.96
0.992,0.0,0.004,0.002,0.002
0.006,0.004,0.006,0.006,0.978
0.864,0.014,0.018,0.062,0.042
0.006,0.002,0.988,0.002,0.002
0.098,0.012,0.002,0.886,0.002
0.928,0.01,0.012,0.02,0.03
0.008,0.0,0.0,0.01,0.982
0.912,0.006,0.022,0.044,0.016
0.012,0.946,0.012,0.026,0.004
0.978,0.004,0.0,0.008,0.01
0.004,0.0,0.002,0.002,0.992
0.022,0.016,0.01,0.936,0.016
0.036,0.88,0.006,0.068,0.01
0.002,0.0,0.996,0.002,0.0
0.152,0.05,0.036,0.714,0.048
0.042,0.004,0.008,0.024,0.922
0.062,0.042,0.018,0.072,0.806
0.038,0.01,0.028,0.916,0.008
0.056,0.036,0.028,0.866,0.014
0.006,0.006,0.978,0.008,0.002
0.02,0.006,0.004,0.006,0.964
0.944,0.008,0.012,0.028,0.008
0.012,0.006,0.002,0.976,0.004
0.072,0.076,0.032,0.792,0.028
0.052,0.02,0.012,0.022,0.894
0.032,0.88,0.014,0.068,0.006
0.0,0.0,0.998,0.0,0.002
0.014,0.96,0.006,0.014,0.006
0.002,0.0,0.99,0.006,0.002
0.03,0.868,0.018,0.06,0.024
0.108,0.6,0.05,0.198,0.044
0.008,0.002,0.002,0.006,0.982
0.114,0.748,0.012,0.106,0.02
0.246,0.08,0.046,0.518,0.11
0.73,0.048,0.014,0.186,0.022
0.016,0.006,0.008,0.016,0.954
0.004,0.002,0.99,0.004,0.0
0.99,0.0,0.0,0.002,0.008
0.044,0.038,0.014,0.896,0.008
0.92,0.008,0.014,0.048,0.01
0.004,0.002,0.992,0.002,0.0
0.018,0.934,0.012,0.028,0.008
0.256,0.066,0.474,0.134,0.07
0.966,0.004,0.004,0.016,0.01
0.9,0.02,0.01,0.058,0.012
0.932,0.014,0.02,0.028,0.006
0.18,0.058,0.024,0.094,0.644
0.09,0.772,0.028,0.084,0.026
0.982,0.002,0.006,0.006,0.004
0.01,0.002,0.976,0.01,0.002
0.922,0.014,0.022,0.028,0.014
0.93,0.008,0.01,0.032,0.02
0.914,0.014,0.01,0.038,0.024
0.008,0.952,0.01,0.022,0.008
0.946,0.006,0.008,0.022,0.018
0.024,0.002,0.0,0.972,0.002
0.122,0.042,0.032,0.074,0.73
0.966,0.008,0.002,0.014,0.01
0.05,0.058,0.014,0.86,0.018
0.986,0.0,0.002,0.01,0.002
0.008,0.002,0.0,0.004,0.986
0.01,0.006,0.96,0.014,0.01
0.02,0.0,0.004,0.02,0.956
0.128,0.024,0.02,0.806,0.022
0.078,0.016,0.01,0.05,0.846
0.966,0.006,0.004,0.016,0.008
0.98,0.0,0.004,0.012,0.004
0.97,0.008,0.006,0.01,0.006
0.012,0.0,0.0,0.008,0.98
0.0,0.002,0.996,0.002,0.0
0.232,0.128,0.07,0.506,0.064
0.894,0.02,0.008,0.046,0.032
0.032,0.004,0.008,0.022,0.934
0.96,0.002,0.01,0.01,0.018
0.094,0.038,0.02,0.822,0.026
0.002,0.002,0.99,0.0,0.006
0.978,0.004,0.002,0.01,0.006
0.982,0.002,0.006,0.008,0.002
0.958,0.004,0.006,0.014,0.018
0.21,0.066,0.484,0.122,0.118
0.0,0.0,0.996,0.004,0.0
0.024,0.02,0.912,0.034,0.01
0.838,0.02,0.022,0.094,0.026
0.826,0.032,0.012,0.102,0.028
0.04,0.91,0.012,0.024,0.014
0.044,0.01,0.006,0.93,0.01
0.0,0.002,0.99,0.006,0.002
0.93,0.008,0.008,0.03,0.024
0.744,0.04,0.026,0.162,0.028
0.056,0.032,0.052,0.84,0.02
0.004,0.002,0.994,0.0,0.0
0.042,0.796,0.014,0.134,0.014
0.028,0.01,0.94,0.014,0.008
0.95,0.01,0.006,0.026,0.008
0.938,0.006,0.018,0.028,0.01
0.962,0.006,0.01,0.016,0.006
0.89,0.01,0.022,0.034,0.044
0.816,0.034,0.026,0.07,0.054
0.018,0.022,0.01,0.94,0.01
0.978,0.002,0.0,0.01,0.01
0.912,0.012,0.008,0.052,0.016
0.946,0.01,0.004,0.026,0.014
0.004,0.984,0.006,0.006,0.0
0.008,0.006,0.98,0.006,0.0
0.014,0.944,0.012,0.018,0.012
0.018,0.006,0.96,0.014,0.002
0.968,0.01,0.002,0.016,0.004
0.974,0.0,0.01,0.01,0.006
0.932,0.008,0.016,0.032,0.012
0.022,0.028,0.01,0.928,0.012
0.036,0.004,0.008,0.03,0.922
0.01,0.002,0.004,0.004,0.98
0.02,0.008,0.008,0.008,0.956
0.808,0.034,0.038,0.088,0.032
0.008,0.004,0.018,0.016,0.954
0.02,0.004,0.008,0.96,0.008
0.968,0.008,0.006,0.01,0.008
0.97,0.0,0.002,0.018,0.01
0.022,0.006,0.93,0.038,0.004
0.064,0.022,0.856,0.04,0.018
0.938,0.008,0.006,0.03,0.018
0.912,0.014,0.012,0.052,0.01
0.87,0.02,0.012,0.082,0.016
0.012,0.006,0.958,0.02,0.004
0.032,0.904,0.008,0.046,0.01
0.002,0.002,0.996,0.0,0.0
0.052,0.02,0.006,0.03,0.892
0.834,0.02,0.036,0.096,0.014
0.006,0.006,0.964,0.018,0.006
0.034,0.9,0.006,0.05,0.01
0.104,0.03,0.014,0.832,0.02
0.028,0.028,0.012,0.92,0.012
0.128,0.102,0.022,0.698,0.05
0.044,0.038,0.016,0.892,0.01
0.956,0.004,0.016,0.016,0.008
0.918,0.012,0.012,0.038,0.02
0.124,0.128,0.48,0.162,0.106
0.974,0.006,0.004,0.014,0.002
0.942,0.006,0.008,0.034,0.01
