0,1,2,3,4
0.046,0.002,0.0,0.952,0.0
0.97,0.004,0.004,0.02,0.002
0.002,0.0,0.0,0.0,0.998
0.002,0.0,0.998,0.0,0.0
0.016,0.002,0.002,0.98,0.0
0.96,0.006,0.0,0.014,0.02
0.026,0.008,0.008,0.008,0.95
0.996,0.0,0.0,0.004,0.0
0.018,0.004,0.004,0.974,0.0
0.998,0.0,0.0,0.002,0.0
0.004,0.0,0.0,0.0,0.996
0.0,0.0,0.998,0.002,0.0
0.986,0.0,0.0,0.004,0.01
0.022,0.008,0.002,0.966,0.002
0.946,0.006,0.024,0.014,0.01
0.01,0.0,0.0,0.0,0.99
0.986,0.002,0.002,0.006,0.004
0.002,0.002,0.0,0.0,0.996
0.0,0.002,0.988,0.01,0.0
0.018,0.01,0.016,0.952,0.004
0.006,0.0,0.03,0.002,0.962
0.99,0.002,0.006,0.0,0.002
0.0,0.0,0.0,0.0,1.0
0.866,0.008,0.028,0.058,0.04
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.998,0.002
0.964,0.006,0.006,0.014,0.01
0.0,0.0,0.0,0.0,1.0
0.94,0.006,0.008,0.036,0.01
0.004,0.98,0.012,0.004,0.0
1.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.002,0.996
0.002,0.006,0.004,0.984,0.004
0.02,0.93,0.012,0.026,0.012
0.0,0.0,1.0,0.0,0.0
0.062,0.02,0.012,0.88,0.026
0.008,0.0,0.002,0.01,0.98
0.05,0.01,0.008,0.03,0.902
0.006,0.006,0.002,0.984,0.002
0.016,0.028,0.052,0.9,0.004
0.0,0.002,0.998,0.0,0.0
0.01,0.004,0.042,0.004,0.94
0.99,0.0,0.006,0.004,0.0
0.002,0.0,0.002,0.996,0.0
0.002,0.04,0.006,0.952,0.0
0.02,0.012,0.002,0.008,0.958
0.018,0.918,0.012,0.052,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.994,0.004,0.002,0.0
0.0,0.0,1.0,0.0,0.0
0.006,0.95,0.024,0.018,0.002
0.052,0.862,0.01,0.066,0.01
0.006,0.004,0.0,0.002,0.988
0.076,0.846,0.016,0.052,0.01
0.198,0.028,0.012,0.692,0.07
0.886,0.016,0.006,0.088,0.004
0.004,0.0,0.006,0.0,0.99
0.0,0.0,1.0,0.0,0.0
0.984,0.0,0.002,0.008,0.006
0.016,0.0,0.0,0.984,0.0
0.95,0.012,0.006,0.024,0.008
0.0,0.0,0.998,0.002,0.0
0.0,0.992,0.004,0.004,0.0
0.278,0.066,0.52,0.112,0.024
0.99,0.0,0.002,0.006,0.002
1.0,0.0,0.0,0.0,0.0
0.998,0.0,0.0,0.002,0.0
0.064,0.008,0.004,0.028,0.896
0.04,0.874,0.024,0.052,0.01
1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.98,0.004,0.008,0.002,0.006
0.996,0.0,0.0,0.004,0.0
0.964,0.008,0.008,0.018,0.002
0.0,1.0,0.0,0.0,0.0
0.988,0.0,0.0,0.01,0.002
0.002,0.0,0.002,0.994,0.002
0.034,0.012,0.012,0.046,0.896
